onset	duration	sample	type	value
0	0.001	1	New Segment	n/a
74.9	0.001	74901	New Segment	n/a
107.248	0.001	107249	Stimulus	S 52
122.541	0.001	122542	Stimulus	S 53
122.563	0.001	122564	Stimulus	S 56
122.583	0.001	122584	Stimulus	S 58
122.637	0.001	122638	Stimulus	S  7
124.214	0.001	124215	Stimulus	S 21
124.936	0.001	124937	Stimulus	S 51
128.686	0.001	128687	Stimulus	S  7
130.26	0.001	130261	Stimulus	S 19
130.968	0.001	130969	Stimulus	S 50
132.87	0.001	132871	Stimulus	S  1
134.447	0.001	134448	Stimulus	S 23
135.496	0.001	135497	Stimulus	S 50
137.054	0.001	137055	Stimulus	S  1
138.63	0.001	138631	Stimulus	S 17
139.24	0.001	139241	Stimulus	S 50
141.24	0.001	141241	Stimulus	S  7
142.816	0.001	142817	Stimulus	S 19
143.416	0.001	143417	Stimulus	S 51
147.263	0.001	147264	Stimulus	S  1
148.84	0.001	148841	Stimulus	S 23
149.528	0.001	149529	Stimulus	S 50
151.447	0.001	151448	Stimulus	S  1
153.022	0.001	153023	Stimulus	S 18
153.72	0.001	153721	Stimulus	S 50
155.628	0.001	155629	Stimulus	S  7
157.202	0.001	157203	Stimulus	S 20
157.944	0.001	157945	Stimulus	S 50
159.809	0.001	159810	Stimulus	S  7
161.385	0.001	161386	Stimulus	S 21
162.184	0.001	162185	Stimulus	S 50
163.992	0.001	163993	Stimulus	S  7
165.568	0.001	165569	Stimulus	S 22
166.2	0.001	166201	Stimulus	S 50
168.177	0.001	168178	Stimulus	S  1
169.752	0.001	169753	Stimulus	S 24
170.28	0.001	170281	Stimulus	S 50
172.36	0.001	172361	Stimulus	S  1
173.937	0.001	173938	Stimulus	S 18
174.536	0.001	174537	Stimulus	S 50
176.545	0.001	176546	Stimulus	S  7
178.121	0.001	178122	Stimulus	S 22
178.808	0.001	178809	Stimulus	S 50
180.728	0.001	180729	Stimulus	S  1
182.304	0.001	182305	Stimulus	S 23
183.031	0.001	183032	Stimulus	S 50
184.912	0.001	184913	Stimulus	S  7
186.489	0.001	186490	Stimulus	S 22
187.112	0.001	187113	Stimulus	S 50
189.096	0.001	189097	Stimulus	S  1
190.671	0.001	190672	Stimulus	S 17
191.367	0.001	191368	Stimulus	S 50
193.278	0.001	193279	Stimulus	S  7
194.853	0.001	194854	Stimulus	S 20
195.543	0.001	195544	Stimulus	S 50
197.461	0.001	197462	Stimulus	S  1
199.04	0.001	199041	Stimulus	S 24
199.767	0.001	199768	Stimulus	S 50
201.647	0.001	201648	Stimulus	S  7
203.224	0.001	203225	Stimulus	S 20
203.751	0.001	203752	Stimulus	S 50
205.831	0.001	205832	Stimulus	S  1
207.409	0.001	207410	Stimulus	S 17
207.943	0.001	207944	Stimulus	S 50
214.33	0.001	214331	Stimulus	S 54
214.351	0.001	214352	Stimulus	S 56
214.372	0.001	214373	Stimulus	S 59
214.41	0.001	214411	Stimulus	S  8
215.986	0.001	215987	Stimulus	S 20
216.695	0.001	216696	Stimulus	S 50
218.591	0.001	218592	Stimulus	S  8
220.168	0.001	220169	Stimulus	S 21
220.839	0.001	220840	Stimulus	S 51
224.604	0.001	224605	Stimulus	S  2
226.182	0.001	226183	Stimulus	S 17
226.791	0.001	226792	Stimulus	S 50
228.787	0.001	228788	Stimulus	S  2
230.365	0.001	230366	Stimulus	S 17
230.951	0.001	230952	Stimulus	S 50
232.971	0.001	232972	Stimulus	S  2
234.549	0.001	234550	Stimulus	S 18
235.951	0.001	235952	Stimulus	S 51
239.012	0.001	239013	Stimulus	S  8
240.59	0.001	240591	Stimulus	S 22
241.783	0.001	241784	Stimulus	S 51
245.022	0.001	245023	Stimulus	S  8
246.598	0.001	246599	Stimulus	S 20
247.175	0.001	247176	Stimulus	S 50
249.207	0.001	249208	Stimulus	S  2
250.783	0.001	250784	Stimulus	S 18
251.687	0.001	251688	Stimulus	S 50
253.39	0.001	253391	Stimulus	S  2
254.965	0.001	254966	Stimulus	S 17
255.591	0.001	255592	Stimulus	S 50
257.57	0.001	257571	Stimulus	S  8
259.146	0.001	259147	Stimulus	S 19
259.654	0.001	259655	Stimulus	S 50
261.753	0.001	261754	Stimulus	S  8
263.328	0.001	263329	Stimulus	S 19
264.182	0.001	264183	Stimulus	S 50
265.935	0.001	265936	Stimulus	S  8
267.512	0.001	267513	Stimulus	S 20
268.134	0.001	268135	Stimulus	S 50
270.119	0.001	270120	Stimulus	S  2
271.696	0.001	271697	Stimulus	S 18
272.422	0.001	272423	Stimulus	S 50
274.304	0.001	274305	Stimulus	S  8
275.88	0.001	275881	Stimulus	S 19
276.598	0.001	276599	Stimulus	S 50
278.487	0.001	278488	Stimulus	S  8
280.063	0.001	280064	Stimulus	S 20
280.614	0.001	280615	Stimulus	S 51
284.501	0.001	284502	Stimulus	S  8
286.078	0.001	286079	Stimulus	S 19
286.534	0.001	286535	Stimulus	S 50
288.686	0.001	288687	Stimulus	S  8
290.262	0.001	290263	Stimulus	S 22
290.934	0.001	290935	Stimulus	S 50
292.869	0.001	292870	Stimulus	S  2
294.443	0.001	294444	Stimulus	S 24
295.078	0.001	295079	Stimulus	S 50
297.05	0.001	297051	Stimulus	S  2
298.626	0.001	298627	Stimulus	S 23
299.318	0.001	299319	Stimulus	S 50
301.233	0.001	301234	Stimulus	S  2
302.811	0.001	302812	Stimulus	S 17
303.366	0.001	303367	Stimulus	S 50
317.703	0.001	317704	Stimulus	S 55
317.723	0.001	317724	Stimulus	S 60
317.796	0.001	317797	Stimulus	S 29
319.614	0.001	319615	Stimulus	S 37
320.717	0.001	320718	Stimulus	S 50
322.248	0.001	322249	Stimulus	S 29
323.984	0.001	323985	Stimulus	S 39
325.087	0.001	325088	Stimulus	S 50
326.614	0.001	326615	Stimulus	S 26
328.36	0.001	328361	Stimulus	S 33
329.462	0.001	329463	Stimulus	S 50
330.989	0.001	330990	Stimulus	S 26
332.724	0.001	332725	Stimulus	S 33
333.825	0.001	333826	Stimulus	S 50
335.351	0.001	335352	Stimulus	S 26
337.088	0.001	337089	Stimulus	S 35
338.19	0.001	338191	Stimulus	S 50
339.72	0.001	339721	Stimulus	S 26
341.455	0.001	341456	Stimulus	S 35
342.557	0.001	342558	Stimulus	S 50
344.081	0.001	344082	Stimulus	S 29
345.816	0.001	345817	Stimulus	S 39
346.918	0.001	346919	Stimulus	S 50
348.445	0.001	348446	Stimulus	S 29
350.182	0.001	350183	Stimulus	S 43
351.283	0.001	351284	Stimulus	S 50
352.807	0.001	352808	Stimulus	S 26
354.545	0.001	354546	Stimulus	S 35
355.646	0.001	355647	Stimulus	S 50
357.172	0.001	357173	Stimulus	S 29
358.905	0.001	358906	Stimulus	S 39
360.007	0.001	360008	Stimulus	S 50
361.532	0.001	361533	Stimulus	S 26
363.272	0.001	363273	Stimulus	S 35
364.374	0.001	364375	Stimulus	S 50
365.898	0.001	365899	Stimulus	S 29
367.639	0.001	367640	Stimulus	S 39
368.741	0.001	368742	Stimulus	S 50
370.266	0.001	370267	Stimulus	S 29
372.002	0.001	372003	Stimulus	S 39
373.103	0.001	373104	Stimulus	S 50
374.628	0.001	374629	Stimulus	S 29
376.365	0.001	376366	Stimulus	S 39
377.467	0.001	377468	Stimulus	S 50
378.993	0.001	378994	Stimulus	S 26
380.729	0.001	380730	Stimulus	S 45
381.831	0.001	381832	Stimulus	S 50
383.357	0.001	383358	Stimulus	S 26
385.103	0.001	385104	Stimulus	S 47
386.205	0.001	386206	Stimulus	S 50
387.73	0.001	387731	Stimulus	S 29
389.468	0.001	389469	Stimulus	S 41
390.57	0.001	390571	Stimulus	S 50
392.095	0.001	392096	Stimulus	S 29
393.829	0.001	393830	Stimulus	S 37
394.931	0.001	394932	Stimulus	S 50
396.457	0.001	396458	Stimulus	S 26
398.192	0.001	398193	Stimulus	S 45
399.294	0.001	399295	Stimulus	S 50
400.819	0.001	400820	Stimulus	S 29
402.557	0.001	402558	Stimulus	S 38
403.365	0.001	403366	Stimulus	S 50
403.386	0.001	403387	Stimulus	S 50
405.166	0.001	405167	Stimulus	S 29
406.9	0.001	406901	Stimulus	S 39
408.002	0.001	408003	Stimulus	S 50
409.528	0.001	409529	Stimulus	S 29
411.264	0.001	411265	Stimulus	S 43
412.366	0.001	412367	Stimulus	S 50
413.892	0.001	413893	Stimulus	S 29
415.628	0.001	415629	Stimulus	S 37
416.73	0.001	416731	Stimulus	S 50
418.255	0.001	418256	Stimulus	S 29
419.992	0.001	419993	Stimulus	S 40
420.805	0.001	420806	Stimulus	S 50
420.825	0.001	420826	Stimulus	S 50
422.601	0.001	422602	Stimulus	S 29
424.336	0.001	424337	Stimulus	S 37
425.438	0.001	425439	Stimulus	S 50
426.963	0.001	426964	Stimulus	S 26
428.702	0.001	428703	Stimulus	S 47
429.803	0.001	429804	Stimulus	S 50
431.328	0.001	431329	Stimulus	S 26
433.067	0.001	433068	Stimulus	S 35
434.168	0.001	434169	Stimulus	S 50
435.694	0.001	435695	Stimulus	S 26
437.428	0.001	437429	Stimulus	S 35
438.53	0.001	438531	Stimulus	S 50
440.054	0.001	440055	Stimulus	S 29
441.79	0.001	441791	Stimulus	S 37
442.892	0.001	442893	Stimulus	S 50
444.417	0.001	444418	Stimulus	S 26
446.154	0.001	446155	Stimulus	S 45
447.256	0.001	447257	Stimulus	S 50
448.78	0.001	448781	Stimulus	S 29
450.517	0.001	450518	Stimulus	S 37
451.619	0.001	451620	Stimulus	S 50
453.144	0.001	453145	Stimulus	S 26
454.879	0.001	454880	Stimulus	S 33
455.981	0.001	455982	Stimulus	S 50
457.509	0.001	457510	Stimulus	S 26
459.256	0.001	459257	Stimulus	S 33
460.357	0.001	460358	Stimulus	S 50
461.884	0.001	461885	Stimulus	S 29
463.619	0.001	463620	Stimulus	S 41
464.721	0.001	464722	Stimulus	S 50
466.248	0.001	466249	Stimulus	S 26
