onset	duration	sample	type	value
0	0.001	1	New Segment	n/a
77.15	0.001	77151	Stimulus	S 52
90.266	0.001	90267	Stimulus	S 54
90.287	0.001	90288	Stimulus	S 56
90.308	0.001	90309	Stimulus	S 58
90.366	0.001	90367	Stimulus	S  7
91.941	0.001	91942	Stimulus	S 20
92.647	0.001	92648	Stimulus	S 51
96.403	0.001	96404	Stimulus	S  7
97.981	0.001	97982	Stimulus	S 21
99.383	0.001	99384	Stimulus	S 51
102.449	0.001	102450	Stimulus	S  4
104.027	0.001	104028	Stimulus	S 17
104.503	0.001	104504	Stimulus	S 51
108.48	0.001	108481	Stimulus	S  4
110.057	0.001	110058	Stimulus	S 17
110.487	0.001	110488	Stimulus	S 50
112.666	0.001	112667	Stimulus	S  4
114.244	0.001	114245	Stimulus	S 18
114.935	0.001	114936	Stimulus	S 50
116.856	0.001	116857	Stimulus	S  7
118.434	0.001	118435	Stimulus	S 22
119.079	0.001	119080	Stimulus	S 51
122.868	0.001	122869	Stimulus	S  7
124.444	0.001	124445	Stimulus	S 20
125.111	0.001	125112	Stimulus	S 50
127.051	0.001	127052	Stimulus	S  4
128.625	0.001	128626	Stimulus	S 18
129.575	0.001	129576	Stimulus	S 50
131.233	0.001	131234	Stimulus	S  4
132.811	0.001	132812	Stimulus	S 17
133.431	0.001	133432	Stimulus	S 50
135.419	0.001	135420	Stimulus	S  7
136.996	0.001	136997	Stimulus	S 19
137.671	0.001	137672	Stimulus	S 50
139.603	0.001	139604	Stimulus	S  7
141.179	0.001	141180	Stimulus	S 19
141.575	0.001	141576	Stimulus	S 50
143.786	0.001	143787	Stimulus	S  7
145.361	0.001	145362	Stimulus	S 20
145.879	0.001	145880	Stimulus	S 50
147.967	0.001	147968	Stimulus	S  4
149.545	0.001	149546	Stimulus	S 18
150.182	0.001	150183	Stimulus	S 50
152.152	0.001	152153	Stimulus	S  7
153.728	0.001	153729	Stimulus	S 19
154.198	0.001	154199	Stimulus	S 50
156.335	0.001	156336	Stimulus	S  7
157.912	0.001	157913	Stimulus	S 20
158.358	0.001	158359	Stimulus	S 51
162.345	0.001	162346	Stimulus	S  7
163.922	0.001	163923	Stimulus	S 19
164.406	0.001	164407	Stimulus	S 50
166.529	0.001	166530	Stimulus	S  7
168.104	0.001	168105	Stimulus	S 22
168.582	0.001	168583	Stimulus	S 50
170.71	0.001	170711	Stimulus	S  4
172.287	0.001	172288	Stimulus	S 24
172.886	0.001	172887	Stimulus	S 50
174.892	0.001	174893	Stimulus	S  4
176.468	0.001	176469	Stimulus	S 23
177.142	0.001	177143	Stimulus	S 51
180.899	0.001	180900	Stimulus	S  4
182.474	0.001	182475	Stimulus	S 17
183.094	0.001	183095	Stimulus	S 50
215.335	0.001	215336	Stimulus	S 55
215.355	0.001	215356	Stimulus	S 59
215.423	0.001	215424	Stimulus	S 31
217.21	0.001	217211	Stimulus	S 37
218.312	0.001	218313	Stimulus	S 50
219.839	0.001	219840	Stimulus	S 31
221.573	0.001	221574	Stimulus	S 39
222.675	0.001	222676	Stimulus	S 50
224.2	0.001	224201	Stimulus	S 25
225.935	0.001	225936	Stimulus	S 33
227.037	0.001	227038	Stimulus	S 50
228.562	0.001	228563	Stimulus	S 25
230.298	0.001	230299	Stimulus	S 33
231.4	0.001	231401	Stimulus	S 50
232.928	0.001	232929	Stimulus	S 25
234.666	0.001	234667	Stimulus	S 35
235.767	0.001	235768	Stimulus	S 50
237.299	0.001	237300	Stimulus	S 25
239.032	0.001	239033	Stimulus	S 35
240.134	0.001	240135	Stimulus	S 50
241.658	0.001	241659	Stimulus	S 31
243.394	0.001	243395	Stimulus	S 39
244.496	0.001	244497	Stimulus	S 50
246.023	0.001	246024	Stimulus	S 31
247.759	0.001	247760	Stimulus	S 43
248.86	0.001	248861	Stimulus	S 50
250.388	0.001	250389	Stimulus	S 25
252.125	0.001	252126	Stimulus	S 35
253.226	0.001	253227	Stimulus	S 50
254.752	0.001	254753	Stimulus	S 31
256.486	0.001	256487	Stimulus	S 39
257.588	0.001	257589	Stimulus	S 50
259.114	0.001	259115	Stimulus	S 25
260.85	0.001	260851	Stimulus	S 35
261.952	0.001	261953	Stimulus	S 50
263.478	0.001	263479	Stimulus	S 31
265.212	0.001	265213	Stimulus	S 39
266.314	0.001	266315	Stimulus	S 50
267.839	0.001	267840	Stimulus	S 31
269.574	0.001	269575	Stimulus	S 39
270.676	0.001	270677	Stimulus	S 50
272.201	0.001	272202	Stimulus	S 31
273.936	0.001	273937	Stimulus	S 39
275.038	0.001	275039	Stimulus	S 50
276.562	0.001	276563	Stimulus	S 25
278.302	0.001	278303	Stimulus	S 45
279.404	0.001	279405	Stimulus	S 50
280.928	0.001	280929	Stimulus	S 25
282.665	0.001	282666	Stimulus	S 47
283.767	0.001	283768	Stimulus	S 50
285.293	0.001	285294	Stimulus	S 31
287.031	0.001	287032	Stimulus	S 41
288.133	0.001	288134	Stimulus	S 50
289.659	0.001	289660	Stimulus	S 31
291.395	0.001	291396	Stimulus	S 37
292.497	0.001	292498	Stimulus	S 50
294.024	0.001	294025	Stimulus	S 25
295.76	0.001	295761	Stimulus	S 45
296.861	0.001	296862	Stimulus	S 50
298.385	0.001	298386	Stimulus	S 31
300.127	0.001	300128	Stimulus	S 38
300.661	0.001	300662	Stimulus	S 50
300.682	0.001	300683	Stimulus	S 50
302.743	0.001	302744	Stimulus	S 31
304.489	0.001	304490	Stimulus	S 39
305.591	0.001	305592	Stimulus	S 50
307.117	0.001	307118	Stimulus	S 31
308.852	0.001	308853	Stimulus	S 43
309.954	0.001	309955	Stimulus	S 50
311.481	0.001	311482	Stimulus	S 31
313.216	0.001	313217	Stimulus	S 37
314.318	0.001	314319	Stimulus	S 50
315.843	0.001	315844	Stimulus	S 31
317.579	0.001	317580	Stimulus	S 40
318.005	0.001	318006	Stimulus	S 50
318.025	0.001	318026	Stimulus	S 50
320.187	0.001	320188	Stimulus	S 31
321.923	0.001	321924	Stimulus	S 37
323.025	0.001	323026	Stimulus	S 50
324.551	0.001	324552	Stimulus	S 25
326.285	0.001	326286	Stimulus	S 47
327.387	0.001	327388	Stimulus	S 50
328.913	0.001	328914	Stimulus	S 25
330.648	0.001	330649	Stimulus	S 35
331.75	0.001	331751	Stimulus	S 50
333.276	0.001	333277	Stimulus	S 25
335.013	0.001	335014	Stimulus	S 35
336.115	0.001	336116	Stimulus	S 50
337.639	0.001	337640	Stimulus	S 31
339.374	0.001	339375	Stimulus	S 37
340.476	0.001	340477	Stimulus	S 50
342.002	0.001	342003	Stimulus	S 25
343.741	0.001	343742	Stimulus	S 45
344.842	0.001	344843	Stimulus	S 50
346.366	0.001	346367	Stimulus	S 31
348.101	0.001	348102	Stimulus	S 37
349.203	0.001	349204	Stimulus	S 50
350.729	0.001	350730	Stimulus	S 25
352.475	0.001	352476	Stimulus	S 33
353.577	0.001	353578	Stimulus	S 50
355.102	0.001	355103	Stimulus	S 25
356.84	0.001	356841	Stimulus	S 33
357.941	0.001	357942	Stimulus	S 50
359.466	0.001	359467	Stimulus	S 31
361.203	0.001	361204	Stimulus	S 41
362.305	0.001	362306	Stimulus	S 50
363.829	0.001	363830	Stimulus	S 25
365.564	0.001	365565	Stimulus	S 33
366.666	0.001	366667	Stimulus	S 50
368.191	0.001	368192	Stimulus	S 31
369.927	0.001	369928	Stimulus	S 41
371.029	0.001	371030	Stimulus	S 50
372.554	0.001	372555	Stimulus	S 25
374.291	0.001	374292	Stimulus	S 33
375.393	0.001	375394	Stimulus	S 50
376.919	0.001	376920	Stimulus	S 25
378.659	0.001	378660	Stimulus	S 36
379.22	0.001	379221	Stimulus	S 50
379.24	0.001	379241	Stimulus	S 50
381.271	0.001	381272	Stimulus	S 25
383.006	0.001	383007	Stimulus	S 35
384.108	0.001	384109	Stimulus	S 50
385.634	0.001	385635	Stimulus	S 25
387.37	0.001	387371	Stimulus	S 34
387.827	0.001	387828	Stimulus	S 50
387.847	0.001	387848	Stimulus	S 50
423.189	0.001	423190	Stimulus	S 53
423.21	0.001	423211	Stimulus	S 56
423.23	0.001	423231	Stimulus	S 60
423.265	0.001	423266	Stimulus	S  5
424.842	0.001	424843	Stimulus	S 21
425.827	0.001	425828	Stimulus	S 50
427.454	0.001	427455	Stimulus	S  5
429.031	0.001	429032	Stimulus	S 19
429.634	0.001	429635	Stimulus	S 51
433.471	0.001	433472	Stimulus	S  2
435.045	0.001	435046	Stimulus	S 23
435.634	0.001	435635	Stimulus	S 50
437.65	0.001	437651	Stimulus	S  2
439.227	0.001	439228	Stimulus	S 17
440.114	0.001	440115	Stimulus	S 50
441.834	0.001	441835	Stimulus	S  5
443.41	0.001	443411	Stimulus	S 19
444.546	0.001	444547	Stimulus	S 51
447.848	0.001	447849	Stimulus	S  2
449.424	0.001	449425	Stimulus	S 23
450.338	0.001	450339	Stimulus	S 51
453.86	0.001	453861	Stimulus	S  2
455.438	0.001	455439	Stimulus	S 18
456.066	0.001	456067	Stimulus	S 50
458.044	0.001	458045	Stimulus	S  5
459.621	0.001	459622	Stimulus	S 20
460.194	0.001	460195	Stimulus	S 50
462.229	0.001	462230	Stimulus	S  5
463.808	0.001	463809	Stimulus	S 21
464.594	0.001	464595	Stimulus	S 51
468.246	0.001	468247	Stimulus	S  5
469.822	0.001	469823	Stimulus	S 22
470.466	0.001	470467	Stimulus	S 50
472.428	0.001	472429	Stimulus	S  2
474.004	0.001	474005	Stimulus	S 24
475.106	0.001	475107	Stimulus	S 50
476.612	0.001	476613	Stimulus	S  2
478.189	0.001	478190	Stimulus	S 18
478.754	0.001	478755	Stimulus	S 51
482.627	0.001	482628	Stimulus	S  5
484.203	0.001	484204	Stimulus	S 22
484.946	0.001	484947	Stimulus	S 50
486.809	0.001	486810	Stimulus	S  2
488.385	0.001	488386	Stimulus	S 23
489.41	0.001	489411	Stimulus	S 51
492.824	0.001	492825	Stimulus	S  5
494.401	0.001	494402	Stimulus	S 22
495.202	0.001	495203	Stimulus	S 50
497.007	0.001	497008	Stimulus	S  2
498.584	0.001	498585	Stimulus	S 17
499.714	0.001	499715	Stimulus	S 50
501.191	0.001	501192	Stimulus	S  5
502.766	0.001	502767	Stimulus	S 20
503.553	0.001	503554	Stimulus	S 50
505.372	0.001	505373	Stimulus	S  2
506.948	0.001	506949	Stimulus	S 24
507.633	0.001	507634	Stimulus	S 50
509.554	0.001	509555	Stimulus	S  5
511.13	0.001	511131	Stimulus	S 20
511.729	0.001	511730	Stimulus	S 50
513.736	0.001	513737	Stimulus	S  2
515.314	0.001	515315	Stimulus	S 17
515.713	0.001	515714	Stimulus	S 50
532.437	0.001	532438	Stimulus	S 54
532.457	0.001	532458	Stimulus	S 57
532.478	0.001	532479	Stimulus	S 61
532.518	0.001	532519	Stimulus	S  4
534.094	0.001	534095	Stimulus	S 23
535.169	0.001	535170	Stimulus	S 50
536.699	0.001	536700	Stimulus	S  4
538.276	0.001	538277	Stimulus	S 18
538.785	0.001	538786	Stimulus	S 50
540.881	0.001	540882	Stimulus	S  4
542.458	0.001	542459	Stimulus	S 18
542.945	0.001	542946	Stimulus	S 50
545.064	0.001	545065	Stimulus	S  4
546.64	0.001	546641	Stimulus	S 17
547.249	0.001	547250	Stimulus	S 50
549.248	0.001	549249	Stimulus	S  5
550.826	0.001	550827	Stimulus	S 22
551.473	0.001	551474	Stimulus	S 51
555.258	0.001	555259	Stimulus	S  5
556.834	0.001	556835	Stimulus	S 20
557.473	0.001	557474	Stimulus	S 50
559.441	0.001	559442	Stimulus	S  5
561.018	0.001	561019	Stimulus	S 19
561.729	0.001	561730	Stimulus	S 50
563.623	0.001	563624	Stimulus	S  5
565.2	0.001	565201	Stimulus	S 19
565.857	0.001	565858	Stimulus	S 50
567.805	0.001	567806	Stimulus	S  4
569.38	0.001	569381	Stimulus	S 17
569.984	0.001	569985	Stimulus	S 50
571.987	0.001	571988	Stimulus	S  5
573.562	0.001	573563	Stimulus	S 19
574.097	0.001	574098	Stimulus	S 50
576.169	0.001	576170	Stimulus	S  4
577.744	0.001	577745	Stimulus	S 24
578.176	0.001	578177	Stimulus	S 50
580.352	0.001	580353	Stimulus	S  5
581.926	0.001	581927	Stimulus	S 20
582.496	0.001	582497	Stimulus	S 50
584.534	0.001	584535	Stimulus	S  4
586.11	0.001	586111	Stimulus	S 17
586.768	0.001	586769	Stimulus	S 50
588.716	0.001	588717	Stimulus	S  5
590.292	0.001	590293	Stimulus	S 22
590.832	0.001	590833	Stimulus	S 50
592.9	0.001	592901	Stimulus	S  4
594.475	0.001	594476	Stimulus	S 17
594.992	0.001	594993	Stimulus	S 50
597.081	0.001	597082	Stimulus	S  5
598.657	0.001	598658	Stimulus	S 20
599.056	0.001	599057	Stimulus	S 50
601.264	0.001	601265	Stimulus	S  5
602.842	0.001	602843	Stimulus	S 21
603.264	0.001	603265	Stimulus	S 50
605.449	0.001	605450	Stimulus	S  5
607.024	0.001	607025	Stimulus	S 19
607.632	0.001	607633	Stimulus	S 50
609.631	0.001	609632	Stimulus	S  5
611.207	0.001	611208	Stimulus	S 20
611.6	0.001	611601	Stimulus	S 50
613.814	0.001	613815	Stimulus	S  4
615.392	0.001	615393	Stimulus	S 18
615.872	0.001	615873	Stimulus	S 50
643.65	0.001	643651	Stimulus	S 53
643.67	0.001	643671	Stimulus	S 57
643.691	0.001	643692	Stimulus	S 62
643.728	0.001	643729	Stimulus	S  2
645.303	0.001	645304	Stimulus	S 17
646.048	0.001	646049	Stimulus	S 50
647.91	0.001	647911	Stimulus	S  2
649.484	0.001	649485	Stimulus	S 24
650.127	0.001	650128	Stimulus	S 50
652.09	0.001	652091	Stimulus	S  2
653.664	0.001	653665	Stimulus	S 18
654.207	0.001	654208	Stimulus	S 50
656.27	0.001	656271	Stimulus	S  2
657.846	0.001	657847	Stimulus	S 18
658.447	0.001	658448	Stimulus	S 50
660.453	0.001	660454	Stimulus	S  7
662.029	0.001	662030	Stimulus	S 20
662.367	0.001	662368	Stimulus	S 50
664.635	0.001	664636	Stimulus	S  7
666.212	0.001	666213	Stimulus	S 22
666.671	0.001	666672	Stimulus	S 51
670.653	0.001	670654	Stimulus	S  2
672.23	0.001	672231	Stimulus	S 17
672.639	0.001	672640	Stimulus	S 51
676.672	0.001	676673	Stimulus	S  2
678.247	0.001	678248	Stimulus	S 23
678.879	0.001	678880	Stimulus	S 50
680.855	0.001	680856	Stimulus	S  7
682.433	0.001	682434	Stimulus	S 21
682.975	0.001	682976	Stimulus	S 50
685.038	0.001	685039	Stimulus	S  7
686.614	0.001	686615	Stimulus	S 20
687.007	0.001	687008	Stimulus	S 50
689.221	0.001	689222	Stimulus	S  7
690.796	0.001	690797	Stimulus	S 21
691.391	0.001	691392	Stimulus	S 50
693.401	0.001	693402	Stimulus	S  7
694.977	0.001	694978	Stimulus	S 20
695.359	0.001	695360	Stimulus	S 50
697.584	0.001	697585	Stimulus	S  2
