onset	duration	sample	type	value
0	0.001	1	New Segment	n/a
73.882	0.001	73883	Stimulus	S 52
90.375	0.001	90376	Stimulus	S 54
90.396	0.001	90397	Stimulus	S 56
90.416	0.001	90417	Stimulus	S 58
90.467	0.001	90468	Stimulus	S  7
92.044	0.001	92045	Stimulus	S 20
92.755	0.001	92756	Stimulus	S 50
94.652	0.001	94653	Stimulus	S  7
96.228	0.001	96229	Stimulus	S 21
96.931	0.001	96932	Stimulus	S 50
98.835	0.001	98836	Stimulus	S  4
100.412	0.001	100413	Stimulus	S 17
100.883	0.001	100884	Stimulus	S 50
103.021	0.001	103022	Stimulus	S  4
104.597	0.001	104598	Stimulus	S 17
105.107	0.001	105108	Stimulus	S 50
107.205	0.001	107206	Stimulus	S  4
108.783	0.001	108784	Stimulus	S 18
109.603	0.001	109604	Stimulus	S 50
111.396	0.001	111397	Stimulus	S  7
112.972	0.001	112973	Stimulus	S 22
113.907	0.001	113908	Stimulus	S 50
115.579	0.001	115580	Stimulus	S  7
117.153	0.001	117154	Stimulus	S 20
117.795	0.001	117796	Stimulus	S 50
119.762	0.001	119763	Stimulus	S  4
121.339	0.001	121340	Stimulus	S 18
121.939	0.001	121940	Stimulus	S 50
123.945	0.001	123946	Stimulus	S  4
125.521	0.001	125522	Stimulus	S 17
126.147	0.001	126148	Stimulus	S 50
128.129	0.001	128130	Stimulus	S  7
129.704	0.001	129705	Stimulus	S 19
130.291	0.001	130292	Stimulus	S 50
132.311	0.001	132312	Stimulus	S  7
133.887	0.001	133888	Stimulus	S 19
134.386	0.001	134387	Stimulus	S 50
136.495	0.001	136496	Stimulus	S  7
138.071	0.001	138072	Stimulus	S 20
138.594	0.001	138595	Stimulus	S 50
140.677	0.001	140678	Stimulus	S  4
142.254	0.001	142255	Stimulus	S 18
143.058	0.001	143059	Stimulus	S 50
144.862	0.001	144863	Stimulus	S  7
146.437	0.001	146438	Stimulus	S 19
147.314	0.001	147315	Stimulus	S 51
150.896	0.001	150897	Stimulus	S  7
152.472	0.001	152473	Stimulus	S 20
153.234	0.001	153235	Stimulus	S 50
155.078	0.001	155079	Stimulus	S  7
156.655	0.001	156656	Stimulus	S 19
157.106	0.001	157107	Stimulus	S 50
159.264	0.001	159265	Stimulus	S  7
160.84	0.001	160841	Stimulus	S 22
161.378	0.001	161379	Stimulus	S 50
163.447	0.001	163448	Stimulus	S  4
165.022	0.001	165023	Stimulus	S 24
165.506	0.001	165507	Stimulus	S 50
167.629	0.001	167630	Stimulus	S  4
169.206	0.001	169207	Stimulus	S 23
169.874	0.001	169875	Stimulus	S 50
171.812	0.001	171813	Stimulus	S  4
173.391	0.001	173392	Stimulus	S 17
173.922	0.001	173923	Stimulus	S 50
189.476	0.001	189477	Stimulus	S 55
189.496	0.001	189497	Stimulus	S 59
189.548	0.001	189549	Stimulus	S 31
191.287	0.001	191288	Stimulus	S 37
192.389	0.001	192390	Stimulus	S 50
193.92	0.001	193921	Stimulus	S 31
195.655	0.001	195656	Stimulus	S 39
196.757	0.001	196758	Stimulus	S 50
198.284	0.001	198285	Stimulus	S 25
200.019	0.001	200020	Stimulus	S 33
201.121	0.001	201122	Stimulus	S 50
202.648	0.001	202649	Stimulus	S 25
204.383	0.001	204384	Stimulus	S 33
205.485	0.001	205486	Stimulus	S 50
207.01	0.001	207011	Stimulus	S 25
208.746	0.001	208747	Stimulus	S 35
