onset	duration	sample	type	value
0	0.001	1	New Segment	n/a
90.462	0.001	90463	Stimulus	S 52
100.792	0.001	100793	Stimulus	S 55
100.812	0.001	100813	Stimulus	S 58
100.875	0.001	100876	Stimulus	S 28
102.624	0.001	102625	Stimulus	S 47
103.726	0.001	103727	Stimulus	S 50
105.253	0.001	105254	Stimulus	S 29
106.989	0.001	106990	Stimulus	S 37
108.09	0.001	108091	Stimulus	S 50
109.616	0.001	109617	Stimulus	S 29
111.351	0.001	111352	Stimulus	S 37
112.453	0.001	112454	Stimulus	S 50
113.978	0.001	113979	Stimulus	S 28
115.715	0.001	115716	Stimulus	S 33
116.817	0.001	116818	Stimulus	S 50
118.342	0.001	118343	Stimulus	S 29
120.078	0.001	120079	Stimulus	S 39
121.18	0.001	121181	Stimulus	S 50
122.706	0.001	122707	Stimulus	S 28
124.442	0.001	124443	Stimulus	S 35
125.544	0.001	125545	Stimulus	S 50
127.071	0.001	127072	Stimulus	S 28
128.806	0.001	128807	Stimulus	S 47
129.908	0.001	129909	Stimulus	S 50
131.433	0.001	131434	Stimulus	S 28
133.171	0.001	133172	Stimulus	S 36
133.752	0.001	133753	Stimulus	S 50
133.772	0.001	133773	Stimulus	S 50
135.778	0.001	135779	Stimulus	S 29
137.515	0.001	137516	Stimulus	S 37
138.617	0.001	138618	Stimulus	S 50
140.142	0.001	140143	Stimulus	S 29
141.876	0.001	141877	Stimulus	S 43
142.978	0.001	142979	Stimulus	S 50
144.504	0.001	144505	Stimulus	S 29
146.239	0.001	146240	Stimulus	S 39
147.34	0.001	147341	Stimulus	S 50
148.866	0.001	148867	Stimulus	S 29
150.602	0.001	150603	Stimulus	S 37
151.704	0.001	151705	Stimulus	S 50
153.23	0.001	153231	Stimulus	S 28
154.967	0.001	154968	Stimulus	S 35
156.069	0.001	156070	Stimulus	S 50
157.593	0.001	157594	Stimulus	S 29
159.33	0.001	159331	Stimulus	S 37
160.432	0.001	160433	Stimulus	S 50
161.958	0.001	161959	Stimulus	S 29
163.694	0.001	163695	Stimulus	S 39
164.796	0.001	164797	Stimulus	S 50
166.321	0.001	166322	Stimulus	S 28
168.058	0.001	168059	Stimulus	S 35
169.16	0.001	169161	Stimulus	S 50
170.685	0.001	170686	Stimulus	S 28
172.42	0.001	172421	Stimulus	S 45
173.522	0.001	173523	Stimulus	S 50
175.047	0.001	175048	Stimulus	S 29
176.782	0.001	176783	Stimulus	S 39
177.883	0.001	177884	Stimulus	S 50
179.409	0.001	179410	Stimulus	S 28
181.145	0.001	181146	Stimulus	S 45
182.247	0.001	182248	Stimulus	S 50
183.772	0.001	183773	Stimulus	S 29
185.51	0.001	185511	Stimulus	S 41
186.612	0.001	186613	Stimulus	S 50
188.138	0.001	188139	Stimulus	S 28
189.876	0.001	189877	Stimulus	S 45
190.977	0.001	190978	Stimulus	S 50
192.503	0.001	192504	Stimulus	S 29
194.238	0.001	194239	Stimulus	S 38
194.79	0.001	194791	Stimulus	S 50
