onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
58.05	0.001	58051	Stimulus	S 52
64.021	0.001	64022	Stimulus	S 54
64.043	0.001	64044	Stimulus	S 57
64.064	0.001	64065	Stimulus	S 58
64.105	0.001	64106	Stimulus	S  6
65.679	0.001	65680	Stimulus	S 20
66.207	0.001	66208	Stimulus	S 50
68.286	0.001	68287	Stimulus	S  4
69.862	0.001	69863	Stimulus	S 23
70.687	0.001	70688	Stimulus	S 50
72.47	0.001	72471	Stimulus	S  6
74.045	0.001	74046	Stimulus	S 20
74.543	0.001	74544	Stimulus	S 50
76.654	0.001	76655	Stimulus	S  4
78.233	0.001	78234	Stimulus	S 17
79.071	0.001	79072	Stimulus	S 50
80.841	0.001	80842	Stimulus	S  4
82.418	0.001	82419	Stimulus	S 18
83.263	0.001	83264	Stimulus	S 50
85.03	0.001	85031	Stimulus	S  6
86.604	0.001	86605	Stimulus	S 22
87.423	0.001	87424	Stimulus	S 50
89.211	0.001	89212	Stimulus	S  4
90.787	0.001	90788	Stimulus	S 18
91.439	0.001	91440	Stimulus	S 50
93.395	0.001	93396	Stimulus	S  4
94.973	0.001	94974	Stimulus	S 18
95.615	0.001	95616	Stimulus	S 50
97.58	0.001	97581	Stimulus	S  6
99.156	0.001	99157	Stimulus	S 19
100.095	0.001	100096	Stimulus	S 50
101.763	0.001	101764	Stimulus	S  6
103.34	0.001	103341	Stimulus	S 21
104.191	0.001	104192	Stimulus	S 50
105.946	0.001	105947	Stimulus	S  6
107.522	0.001	107523	Stimulus	S 19
108.399	0.001	108400	Stimulus	S 50
110.127	0.001	110128	Stimulus	S  6
111.703	0.001	111704	Stimulus	S 19
112.543	0.001	112544	Stimulus	S 50
114.31	0.001	114311	Stimulus	S  6
115.883	0.001	115884	Stimulus	S 20
116.639	0.001	116640	Stimulus	S 50
118.491	0.001	118492	Stimulus	S  6
120.066	0.001	120067	Stimulus	S 19
121.055	0.001	121056	Stimulus	S 50
122.672	0.001	122673	Stimulus	S  4
124.248	0.001	124249	Stimulus	S 24
125.119	0.001	125120	Stimulus	S 51
128.71	0.001	128711	Stimulus	S  6
130.287	0.001	130288	Stimulus	S 20
130.782	0.001	130783	Stimulus	S 50
132.897	0.001	132898	Stimulus	S  4
134.474	0.001	134475	Stimulus	S 17
135.246	0.001	135247	Stimulus	S 50
137.08	0.001	137081	Stimulus	S  4
138.658	0.001	138659	Stimulus	S 17
139.534	0.001	139535	Stimulus	S 50
141.265	0.001	141266	Stimulus	S  4
142.843	0.001	142844	Stimulus	S 17
143.582	0.001	143583	Stimulus	S 50
145.452	0.001	145453	Stimulus	S  6
147.026	0.001	147027	Stimulus	S 22
147.694	0.001	147695	Stimulus	S 50
153.28	0.001	153281	Stimulus	S 53
153.301	0.001	153302	Stimulus	S 57
153.321	0.001	153322	Stimulus	S 59
153.36	0.001	153361	Stimulus	S  5
154.936	0.001	154937	Stimulus	S 20
155.406	0.001	155407	Stimulus	S 50
157.544	0.001	157545	Stimulus	S  3
159.122	0.001	159123	Stimulus	S 17
159.726	0.001	159727	Stimulus	S 50
161.734	0.001	161735	Stimulus	S  3
163.311	0.001	163312	Stimulus	S 18
163.95	0.001	163951	Stimulus	S 50
165.916	0.001	165917	Stimulus	S  3
167.491	0.001	167492	Stimulus	S 24
168.302	0.001	168303	Stimulus	S 50
170.098	0.001	170099	Stimulus	S  3
171.675	0.001	171676	Stimulus	S 23
172.478	0.001	172479	Stimulus	S 50
174.282	0.001	174283	Stimulus	S  3
175.859	0.001	175860	Stimulus	S 24
176.654	0.001	176655	Stimulus	S 50
178.465	0.001	178466	Stimulus	S  5
180.043	0.001	180044	Stimulus	S 21
180.638	0.001	180639	Stimulus	S 50
182.65	0.001	182651	Stimulus	S  3
184.228	0.001	184229	Stimulus	S 18
185.166	0.001	185167	Stimulus	S 50
186.833	0.001	186834	Stimulus	S  3
188.41	0.001	188411	Stimulus	S 23
189.086	0.001	189087	Stimulus	S 50
191.016	0.001	191017	Stimulus	S  5
192.592	0.001	192593	Stimulus	S 19
193.262	0.001	193263	Stimulus	S 50
195.199	0.001	195200	Stimulus	S  5
196.776	0.001	196777	Stimulus	S 22
197.822	0.001	197823	Stimulus	S 50
199.382	0.001	199383	Stimulus	S  5
200.958	0.001	200959	Stimulus	S 22
202.221	0.001	202222	Stimulus	S 50
203.567	0.001	203568	Stimulus	S  5
205.144	0.001	205145	Stimulus	S 21
206.173	0.001	206174	Stimulus	S 50
207.75	0.001	207751	Stimulus	S  5
209.325	0.001	209326	Stimulus	S 20
209.805	0.001	209806	Stimulus	S 50
211.932	0.001	211933	Stimulus	S  3
213.508	0.001	213509	Stimulus	S 23
214.509	0.001	214510	Stimulus	S 50
216.113	0.001	216114	Stimulus	S  5
217.69	0.001	217691	Stimulus	S 20
218.445	0.001	218446	Stimulus	S 50
220.297	0.001	220298	Stimulus	S  5
221.873	0.001	221874	Stimulus	S 22
222.509	0.001	222510	Stimulus	S 50
224.481	0.001	224482	Stimulus	S  5
226.056	0.001	226057	Stimulus	S 19
226.813	0.001	226814	Stimulus	S 50
228.661	0.001	228662	Stimulus	S  3
230.239	0.001	230240	Stimulus	S 17
231.021	0.001	231022	Stimulus	S 50
232.845	0.001	232846	Stimulus	S  3
234.425	0.001	234426	Stimulus	S 17
235.197	0.001	235198	Stimulus	S 50
244.031	0.001	244032	Stimulus	S 55
244.052	0.001	244053	Stimulus	S 60
244.116	0.001	244117	Stimulus	S 25
245.857	0.001	245858	Stimulus	S 33
246.959	0.001	246960	Stimulus	S 50
248.489	0.001	248490	Stimulus	S 25
250.234	0.001	250235	Stimulus	S 35
251.336	0.001	251337	Stimulus	S 50
252.864	0.001	252865	Stimulus	S 25
254.631	0.001	254632	Stimulus	S 36
255.549	0.001	255550	Stimulus	S 50
255.569	0.001	255570	Stimulus	S 50
257.245	0.001	257246	Stimulus	S 25
258.979	0.001	258980	Stimulus	S 45
260.081	0.001	260082	Stimulus	S 50
261.608	0.001	261609	Stimulus	S 25
263.343	0.001	263344	Stimulus	S 34
263.981	0.001	263982	Stimulus	S 50
264.001	0.001	264002	Stimulus	S 50
265.957	0.001	265958	Stimulus	S 32
267.691	0.001	267692	Stimulus	S 41
268.793	0.001	268794	Stimulus	S 50
270.319	0.001	270320	Stimulus	S 25
272.054	0.001	272055	Stimulus	S 35
273.156	0.001	273157	Stimulus	S 50
274.683	0.001	274684	Stimulus	S 32
276.417	0.001	276418	Stimulus	S 41
277.519	0.001	277520	Stimulus	S 50
279.044	0.001	279045	Stimulus	S 25
280.78	0.001	280781	Stimulus	S 33
281.882	0.001	281883	Stimulus	S 50
283.407	0.001	283408	Stimulus	S 32
285.146	0.001	285147	Stimulus	S 37
286.248	0.001	286249	Stimulus	S 50
287.775	0.001	287776	Stimulus	S 25
289.512	0.001	289513	Stimulus	S 35
290.614	0.001	290615	Stimulus	S 50
292.141	0.001	292142	Stimulus	S 25
293.876	0.001	293877	Stimulus	S 33
294.979	0.001	294980	Stimulus	S 50
296.504	0.001	296505	Stimulus	S 25
298.25	0.001	298251	Stimulus	S 45
299.352	0.001	299353	Stimulus	S 50
300.877	0.001	300878	Stimulus	S 32
302.615	0.001	302616	Stimulus	S 43
303.717	0.001	303718	Stimulus	S 50
305.243	0.001	305244	Stimulus	S 32
306.98	0.001	306981	Stimulus	S 39
308.082	0.001	308083	Stimulus	S 50
309.607	0.001	309608	Stimulus	S 25
311.343	0.001	311344	Stimulus	S 47
312.445	0.001	312446	Stimulus	S 50
313.971	0.001	313972	Stimulus	S 32
