name	type	units	sampling_frequency
FP1	EEG	UV	500
FZ	EEG	UV	500
F3	EEG	UV	500
F7	EEG	UV	500
FT9	EEG	UV	500
FC5	EEG	UV	500
FC1	EEG	UV	500
C3	EEG	UV	500
T7	EEG	UV	500
TP9	EEG	UV	500
CP5	EEG	UV	500
CP1	EEG	UV	500
PZ	EEG	UV	500
P3	EEG	UV	500
P7	EEG	UV	500
O1	EEG	UV	500
OZ	EEG	UV	500
O2	EEG	UV	500
P4	EEG	UV	500
P8	EEG	UV	500
TP10	EEG	UV	500
CP6	EEG	UV	500
CP2	EEG	UV	500
CZ	EEG	UV	500
C4	EEG	UV	500
T8	EEG	UV	500
FT10	EEG	UV	500
FC6	EEG	UV	500
FC2	EEG	UV	500
F4	EEG	UV	500
F8	EEG	UV	500
FP2	EEG	UV	500
AF7	EEG	UV	500
AF3	EEG	UV	500
AFZ	EEG	UV	500
F1	EEG	UV	500
F5	EEG	UV	500
FT7	EEG	UV	500
FC3	EEG	UV	500
C1	EEG	UV	500
C5	EEG	UV	500
TP7	EEG	UV	500
CP3	EEG	UV	500
P1	EEG	UV	500
P5	EEG	UV	500
PO7	EEG	UV	500
PO3	EEG	UV	500
POZ	EEG	UV	500
PO4	EEG	UV	500
PO8	EEG	UV	500
P6	EEG	UV	500
P2	EEG	UV	500
CPZ	EEG	UV	500
CP4	EEG	UV	500
TP8	EEG	UV	500
C6	EEG	UV	500
C2	EEG	UV	500
FC4	EEG	UV	500
FT8	EEG	UV	500
F6	EEG	UV	500
AF8	EEG	UV	500
AF4	EEG	UV	500
F2	EEG	UV	500
EOGP	EEG	UV	500
EOGN	EEG	UV	500
